,S11,S21,S31,20_log_of_mag_S11,20_log_of_mag_S21,20_log_of_mag_S31,degrees_S11,degrees_S21,degrees_S31,Real(S21),Imag(S21)
4.036,(-0.1516009149182563-0.04241006653043641j),(-0.2548933548238211+0.954069103131709j),(-0.0002360943175921558-0.0001390123157928634j),-16.058732658875172,-0.10898079438063635,-71.24562796054457,-164.37113843783544,104.95804168547531,-149.5104266142391,-0.2548933548238211,0.954069103131709
4.037,(-0.151625307142438-0.04236402150443643j),(-0.2545861943252481+0.9541492815036092j),(-0.0002381281200405758-0.0001401307062801213j),-16.058120565453358,-0.10899635491803505,-71.17238648883871,-164.38966802694992,104.93962361265865,-149.52456346105754,-0.2545861943252481,0.9541492815036092
4.038,(-0.151649694731591-0.04231795077776399j),(-0.2542789837790067+0.9542293666166457j),(-0.000240194698492286-0.0001412670300323759j),-16.05750823429856,-0.1090119238859453,-71.09859284036771,-164.40820355812494,104.92120406316518,-149.5387030146697,-0.2542789837790067,0.9542293666166457
4.039,(-0.1516740783237686-0.04227185410982386j),(-0.2539717225651278+0.954309358516289j),(-0.0002422948493383196-0.0001424217222978642j),-16.05689563405535,-0.10902750208910691,-71.02423812115445,-164.42674517691106,104.90278299959161,-149.5528453465181,-0.2539717225651278,0.954309358516289
4.04,(-0.1516984585781831-0.04222573125149712j),(-0.2536644100425109+0.9543892572496588j),(-0.0002444293949784775-0.0001435952325252559j),-16.056282732349693,-0.10904309035877971,-70.94931322032028,-164.44529303360503,104.88436038331717,-149.56699053037005,-0.2536644100425109,0.9543892572496588
4.041,(-0.1517228361760757-0.04217958194478991j),(-0.2533570455480499+0.9544690628655846j),(-0.0002465991848918152-0.0001447880249475462j),-16.055669495747033,-0.1090586895539039,-70.87380880297373,-164.46384728344486,104.86593617445341,-149.58113864241335,-0.2533570455480499,0.9544690628655846
4.042,(-0.1517472118216296-0.04213340592246465j),(-0.253049628395727+0.9545487754146794j),(-0.0002488050967604376-0.0001460005791949967j),-16.05505588970835,-0.10907430056220369,-70.7977153028057,-164.4824080868148,104.84751033179187,-149.5952897613566,-0.253049628395727,0.9545487754146794
4.043,(-0.1517715862429293-0.04208720290765235j),(-0.2527421578756504+0.954628394949416j),(-0.0002510480376497471-0.0001472333909388355j),-16.054441878543923,-0.10908992430138484,-70.72102291437534,-164.50097560946034,104.8290828127486,-149.60944396853475,-0.2527421578756504,0.954628394949416
4.044,(-0.1517959601929685-0.04204097261344583j),(-0.252434633253045+0.9547079215241977j),(-0.0002533289452484266-0.0001484869725675039j),-16.053827425364805,-0.10910556172046205,-70.64372158507288,-164.5195500227145,104.81065357330614,-149.62360134801975,-0.252434633253045,0.9547079215241977
4.045,(-0.1518203344507088-0.04199471474247166j),(-0.252127053767196+0.9547873551954474j),(-0.0002556487891717884-0.0001497618538974259j),-16.05321249203185,-0.10912121380103551,-70.56580100674087,-164.53813150373523,104.79222256795266,-149.63776198673702,-0.252127053767196,0.9547873551954474
4.046,(-0.1518447098221937-0.04194842898644043j),(-0.2518194186303405+0.9548666960216893j),(-0.0002580085723322188-0.0001510585829203281j),-16.052597039102032,-0.10913688155870233,-70.48725060693857,-164.5567202357553,104.77378974961798,-149.65192597458793,-0.2518194186303405,0.9548666960216893
4.047,(-0.1518690871417201-0.04190211502567336j),(-0.2515117270264847+0.9549459440636402j),(-0.0002604093323808674-0.0001523777265893719j),-16.05198102577207,-0.1091525660445587,-70.40805953982851,-164.57531640834515,104.75535506960553,-149.66609340457845,-0.2515117270264847,0.9549459440636402
4.048,(-0.151893467273071-0.04185577252860438j),(-0.2512039781101842+0.9550250993843056j),(-0.0002628521432248728-0.0001537198716464302j),-16.051364409819016,-0.10916826834671192,-70.32821667666755,-164.59392021768923,104.73691847752205,-149.6802643729548,-0.2512039781101842,0.9550250993843056
4.049,(-0.1519178511108137-0.0418094011512551j),(-0.2508961710052341+0.9551041620490747j),(-0.0002653381166248069-0.0001550856254930579j),-16.050747147537795,-0.10918398959198292,-70.247710595881,-164.61253186687756,104.71847992120222,-149.69443897934607,-0.2508961710052341,0.9551041620490747
4.05,(-0.1519422395816671-0.0417630005366831j),(-0.2505883048033177+0.955183132125835j),(-0.0002678684038773294-0.0001564756171078709j),-16.050129193675314,-0.10919973094751279,-70.16652957269753,-164.63115156621183,104.70003934663059,-149.70861732691455,-0.2505883048033177,0.955183132125835
4.051,(-0.1519666336459423-0.04171657031439874j),(-0.2502803785625495+0.9552620096850738j),(-0.0002704441975884329-0.0001578904980132632j),-16.049510501361148,-0.10921549362270483,-70.08466156832048,-164.6497795335292,104.68159669785794,-149.72279952251404,-0.2502803785625495,0.9552620096850738
4.052,(-0.1519910342990621-0.04167011009975263j),(-0.2499723913059663+0.9553407947999981j),(-0.0002730667335429415-0.0001593309432945396j),-16.0488910220343,-0.1092312788710752,-70.00209421861292,-164.66841599454236,104.66315191691415,-149.7369856768568,-0.2499723913059663,0.9553407947999981
4.053,(-0.1520154425731625-0.04162361949328635j),(-0.2496643420199279+0.9554194875466632j),(-0.0002757372926765092-0.0001607976526748643j),-16.048270705366168,-0.10924708799223495,-69.91881482226704,-164.68706118319952,104.64470494371605,-149.75117590468983,-0.2496643420199279,0.9554194875466632
4.054,(-0.1520398595387842-0.04157709808005049j),(-0.2493562296524175+0.9554980880040933j),(-0.0002784572031566607-0.0001622913516495835j),-16.047649499179034,-0.10926292233411095,-69.83481032843171,-164.7057153420631,104.62625571596972,-149.7653703249806,-0.2493562296524175,0.9554980880040933
4.055,(-0.1520642863066573-0.04153054542888213j),(-0.2490480531112659+0.9555765962544261j),(-0.0002812278425800066-0.0001638127926838006j),-16.047027349360196,-0.10927878329511927,-69.75006732376727,-164.72437872271033,104.607804169068,-149.77956906111322,-0.2490480531112659,0.9555765962544261
4.056,(-0.1520887240295874-0.0414839610916433j),(-0.2487398112622594+0.9556550123830543j),(-0.0002840506402932959-0.0001653627564773711j),-16.046404199771086,-0.10929467232658842,-69.66457201889439,-164.74305158615613,104.58935023598154,-149.79377224109587,-0.2487398112622594,0.9556550123830543
4.057,(-0.1521131739044484-0.04143734460241447j),(-0.2484315029271542+0.9557333364787812j),(-0.0002869270798464514-0.0001669420533017497j),-16.0457799921514,-0.10931059093522572,-69.57831023420523,-164.76173420330005,104.57089384714443,-149.8079799977797,-0.2484315029271542,0.9557333364787812
4.058,(-0.1521376371742893-0.04139069547664322j),(-0.2481231268815658+0.9558115686339778j),(-0.0002898587015865016-0.0001685515244135308j),-16.045154666017613,-0.10932654068583346,-69.49126738499814,-164.7804268553987,104.55243493033265,-149.8221924690907,-0.2481231268815658,0.9558115686339778
4.059,(-0.1521621151305647-0.04134401321024217j),(-0.2478146818527385+0.9558897089447603j),(-0.0002928471054019222-0.000170192043549862j),-16.044528158555632,-0.10934252320406158,-69.40342846589733,-164.79912983456597,104.53397341053551,-149.83640979827442,-0.2478146818527385,0.9558897089447603
4.06,(-0.1521866091154937-0.04129729727863546j),(-0.2475061665171914+0.9559677575111662j),(-0.0002958939536276166-0.0001718645185112854j),-16.04390040450721,-0.10935854017942372,-69.31477803451747,-164.81784344430181,104.51550920982008,-149.85063213415557,-0.2475061665171914,0.9559677575111662
4.061,(-0.1522111205245599-0.04125054713574717j),(-0.2471975794982126+0.9560457144373474j),(-0.0002990009741216942-0.0001735698928380774j),-16.043271336049607,-0.10937459336844338,-69.22530019432611,-164.83656800005315,104.49704224718688,-149.86485963141286,-0.2471975794982126,0.9560457144373474
4.062,(-0.1522356508091599-0.04120376221293079j),(-0.2468889193632167+0.9561235798317755j),(-0.000302169963525937-0.0001753091475865487j),-16.042640882668092,-0.10939068459797197,-69.1349785766589,-164.85530382980733,104.47857243841759,-149.8790924508698,-0.2468889193632167,0.9561235798317755
4.063,(-0.1522602014794108-0.04115694191783294j),(-0.2465801846209412+0.9562013538074533j),(-0.0003054027907229205-0.0001770833032123504j),-16.04200897102082,-0.10940681576875388,-69.0437963218354,-164.87405127472204,104.46009969591358,-149.89333075980366,-0.2465801846209412,0.9562013538074533
4.064,(-0.1522847741071306-0.04111008563318883j),(-0.2462713737184518+0.9562790364821465j),(-0.0003087014005038055-0.0001788934215684082j),-16.041375524795317,-0.10942298885918905,-68.95173605931988,-164.89281068979304,104.44162392852344,-149.90757473227282,-0.2462713737184518,0.9562790364821465
4.065,(-0.1523093703289999-0.04106319271554178j),(-0.2459624850379993+0.9563566279786231j),(-0.0003120678174618022-0.0001807406080256313j),-16.040740464556347,-0.1094392059293141,-68.85877988687234,-164.9115824445637,104.42314504136183,-149.92182454946425,-0.2459624850379993,0.9563566279786231
