,S11,S21,S31
4.139,(-0.131528077571494-0.01670846912596537j),(-0.225158516909783+0.965260411176053j),(-0.0003266000220071294-0.000159547317384368j)
4.14,(-0.1315448756507021-0.01666251571598546j),(-0.2248464135723983+0.96533166406359j),(-0.0003290039984648748-0.0001606142369487691j)
4.141,(-0.1315616695982738-0.01661653599528376j),(-0.2245342614834566+0.9654028205110489j),(-0.0003314407728809176-0.0001616955950128728j)
4.142,(-0.131578459924216-0.016570529663369j),(-0.224222060104015+0.9654738805496653j),(-0.0003339110187173259-0.0001627916875106723j)
4.143,(-0.1315952471527937-0.01652449641092913j),(-0.2239098088794619+0.9655448442116575j),(-0.0003364154279635396-0.0001639028185280775j)
4.144,(-0.1316120318230228-0.01647843591952563j),(-0.2235975072389738+0.9656157115302623j),(-0.0003389547118380051-0.0001650293005671859j)
4.145,(-0.1316288144891857-0.01643234786127372j),(-0.2232851545949497+0.9656864825397686j),(-0.0003415296014481322-0.0001661714548541825j)
4.146,(-0.1316455957213669-0.01638623189851016j),(-0.2229727503424218+0.9657571572755523j),(-0.0003441408484389359-0.0001673296116453782j)
4.147,(-0.1316623761060121-0.01634008768344615j),(-0.2226602938584378+0.9658277357741188j),(-0.0003467892257891615-0.0001685041105388874j)
4.148,(-0.1316791562465115-0.01629391485780581j),(-0.2223477845014238+0.9658982180731351j),(-0.0003494755285329084-0.0001696953008123123j)
4.149,(-0.1316959367638078-0.01624771305244834j),(-0.2220352216105082+0.9659686042114795j),(-0.0003522005745738528-0.0001709035417675807j)
4.15,(-0.1317127182970305-0.01620148188697508j),(-0.2217226045048324+0.9660388942292789j),(-0.0003549652054826213-0.000172129203099805j)
4.151,(-0.1317295015041586-0.01615522096931808j),(-0.2214099324828143+0.9661090881679539j),(-0.0003577702873917421-0.0001733726652670672j)
4.152,(-0.1317462870627116-0.01610892989531092j),(-0.2210972048213915+0.966179186070271j),(-0.0003606167118887017-0.0001746343198881634j)
4.153,(-0.1317630756704718-0.01606260824824102j),(-0.2207844207752264+0.966249187980383j),(-0.0003635053969306653-0.0001759145701637135j)
4.154,(-0.131779868046239-0.01601625559838083j),(-0.2204715795758737+0.9663190939438878j),(-0.0003664372878814817-0.0001772138312878324j)
4.155,(-0.1317966649306182-0.0159698715024991j),(-0.2201586804309169+0.9663889040078767j),(-0.0003694133584944352-0.0001785325309113869j)
4.156,(-0.1318134670868443-0.01592345550334897j),(-0.2198457225230569+0.9664586182209934j),(-0.0003724346119963593-0.0001798711096177563j)
4.157,(-0.1318302753016439-0.01587700712913297j),(-0.2195327050091664+0.9665282366334903j),(-0.0003755020822278374-0.0001812300214031071j)
4.158,(-0.1318470903861367-0.01583052589294352j),(-0.2192196270192968+0.966597759297289j),(-0.0003786168348138504-0.0001826097341936188j)
4.159,(-0.131863913176779-0.01578401129217716j),(-0.218906487655641+0.966667186266045j),(-0.0003817799683695752-0.0001840107303890121j)
4.16,(-0.1318807445363512-0.01573746280792139j),(-0.2185932859914437+0.9667365175952168j),(-0.0003849926158366058-0.0001854335074199636j)
4.161,(-0.131897585354992-0.01569087990431249j),(-0.2182800210698671+0.9668057533421301j),(-0.0003882559457782409-0.0001868785783418688j)
4.162,(-0.1319144365512819-0.01564426202786299j),(-0.2179666919027946+0.9668748935660563j),(-0.0003915711638307962-0.000188346472459912j)
4.163,(-0.1319312990733781-0.01559760860675681j),(-0.2176532974695855+0.9669439383282845j),(-0.00039493951416693-0.0001898377359620283j)
4.164,(-0.1319481739002049-0.01555091905010981j),(-0.2173398367157621+0.9670128876922058j),(-0.000398362281069202-0.0001913529326078236j)
4.165,(-0.1319650620427015-0.01550419274719498j),(-0.2170263085516366+0.967081741723394j),(-0.0004018407905179746-0.0001928926444421061j)
4.166,(-0.1319819645451312-0.01545742906662934j),(-0.2167127118508705+0.9671505004896964j),(-0.000405376411947244-0.0001944574725296259j)
4.167,(-0.131998882486456-0.01541062735552017j),(-0.2163990454489634+0.9672191640613242j),(-0.0004089705599957079-0.0001960480377637819j)
4.168,(-0.1320158169817784-0.01536378693856914j),(-0.2160853081416619+0.9672877325109501j),(-0.0004126246964276008-0.0001976649816599003j)
4.169,(-0.1320327691838578-0.01531690711713044j),(-0.2157714986832943+0.9673562059138109j),(-0.0004163403320627121-0.0001993089672431154j)
4.17,(-0.132049740284702-0.01526998716822201j),(-0.2154576157850165+0.9674245843478149j),(-0.0004201190289003267-0.0002009806799459048j)
4.171,(-0.1320667315172409-0.01522302634348563j),(-0.21514365811297+0.9674928678936516j),(-0.0004239624022832592-0.000202680828562948j)
4.172,(-0.132083744157087-0.015176023868093j),(-0.2148296242863453+0.9675610566349123j),(-0.0004278721231947529-0.0002044101462594517j)
4.173,(-0.1321007795243867-0.01512897893959506j),(-0.2145155128753413+0.9676291506582139j),(-0.0004318499206687435-0.0002061693916239289j)
4.174,(-0.1321178389857703-0.01508189072671064j),(-0.2142013223990207+0.9676971500533296j),(-0.0004358975843411336-0.0002079593497829064j)
